asset_id,male,female,unknownUsers,percentMale,percentFemale,near_even,total_interactions
11111,0,0,1,NaN%,NaN%,0,1
2658534,0,0,5,NaN%,NaN%,0,5
2665507,141,200,605,41%,59%,0,946
2666293,31,37,101,46%,54%,1,169
2666294,17,8,44,68%,32%,0,69
2666295,7,11,31,39%,61%,0,49
2666296,4,6,26,40%,60%,0,36
2666297,6,11,25,35%,65%,0,42
2666298,6,8,21,43%,57%,0,35
2666299,5,9,18,36%,64%,0,32
2666300,9,2,22,82%,18%,0,33
2666301,4,3,16,57%,43%,0,23
2666302,3,6,12,33%,67%,0,21
2666304,5,3,10,63%,38%,0,18
2666305,7,4,8,64%,36%,0,19
2666306,5,2,17,71%,29%,0,24
2666504,2,3,9,40%,60%,0,14
2666505,3,6,17,33%,67%,0,26
2666506,2,5,13,29%,71%,0,20
2666637,4,2,10,67%,33%,0,16
2666640,4,4,13,50%,50%,1,21
2666642,2,4,18,33%,67%,0,24
2666643,5,4,12,56%,44%,0,21
2666644,4,4,26,50%,50%,1,34
2666648,3,7,17,30%,70%,0,27
2678103,24,49,126,33%,67%,0,199
2678104,15,15,44,50%,50%,1,74
2678109,10,13,45,43%,57%,0,68
2678111,8,12,31,40%,60%,0,51
2678112,12,16,38,43%,57%,0,66
2678113,8,13,34,38%,62%,0,55
2678114,5,18,26,22%,78%,0,49
2678115,7,8,30,47%,53%,1,45
2678116,11,9,29,55%,45%,0,49
2678117,6,9,23,40%,60%,0,38
2678119,5,8,23,38%,62%,0,36
2678120,2,11,26,15%,85%,0,39
2678121,7,10,20,41%,59%,0,37
2678122,3,6,20,33%,67%,0,29
2678123,4,9,14,31%,69%,0,27
2678124,6,8,21,43%,57%,0,35
2678125,7,15,22,32%,68%,0,44
2678126,4,6,20,40%,60%,0,30
2678127,7,8,16,47%,53%,1,31
2678128,2,7,25,22%,78%,0,34
2678668,4,5,26,44%,56%,0,35
2678669,4,8,21,33%,67%,0,33
2678670,2,6,18,25%,75%,0,26
2678671,5,3,21,63%,38%,0,29
2678713,3,4,13,43%,57%,0,20
2678715,8,6,25,57%,43%,0,39
2678717,2,7,11,22%,78%,0,20
2678718,5,9,16,36%,64%,0,30
2678719,1,9,8,10%,90%,0,18
2678720,5,4,21,56%,44%,0,30
2678721,2,9,15,18%,82%,0,26
2678722,3,1,13,75%,25%,0,17
2678723,1,5,17,17%,83%,0,23
2678724,4,5,12,44%,56%,0,21
2678725,1,7,8,13%,88%,0,16
2678726,1,6,15,14%,86%,0,22
2678727,3,6,14,33%,67%,0,23
2678728,2,3,15,40%,60%,0,20
2678730,3,4,11,43%,57%,0,18
2678731,5,8,12,38%,62%,0,25
2678733,1,3,16,25%,75%,0,20
2678734,1,4,15,20%,80%,0,20
2678735,3,2,13,60%,40%,0,18
2678736,3,2,14,60%,40%,0,19
2678739,3,5,9,38%,63%,0,17
2678741,6,7,10,46%,54%,1,23
2678742,5,7,9,42%,58%,0,21
2678743,3,5,23,38%,63%,0,31
2678745,3,4,11,43%,57%,0,18
2678746,2,3,9,40%,60%,0,14
2678747,1,4,8,20%,80%,0,13
