asset_id,male,female,unknownUsers,percentMale,percentFemale,near_even,total_interactions
Frequency-BeIN-SPORTS-XTRA,757,850,2762,47%,53%,1,4369
Z005,282,325,986,46%,54%,1,1593
4205055,241,284,1019,46%,54%,1,1544
4230306,244,298,949,45%,55%,1,1491
3007812,227,262,798,46%,54%,1,1287
3286808,205,245,726,46%,54%,1,1176
3248539,171,187,674,48%,52%,1,1032
3036488,182,201,644,48%,52%,1,1027
2954014,170,185,652,48%,52%,1,1007
3248545,169,184,610,48%,52%,1,963
3036548,172,192,588,47%,53%,1,952
3959818,158,186,600,46%,54%,1,944
3036569,160,175,605,48%,52%,1,940
3248548,154,180,569,46%,54%,1,903
4091195,163,189,550,46%,54%,1,902
Z113,154,187,558,45%,55%,1,899
3036601,154,173,548,47%,53%,1,875
3036624,150,166,558,47%,53%,1,874
3036598,142,172,558,45%,55%,1,872
3993245,148,180,542,45%,55%,1,870
3037598,147,171,549,46%,54%,1,867
3036562,145,177,544,45%,55%,1,866
4174205,139,163,541,46%,54%,1,843
3029993,136,157,545,46%,54%,1,838
Z061,149,167,520,47%,53%,1,836
3291959,146,154,525,49%,51%,1,825
Z071,144,156,519,48%,52%,1,819
4001264,137,163,509,46%,54%,1,809
4118148,140,151,514,48%,52%,1,805
3036623,139,151,512,48%,52%,1,802
3286804,132,154,515,46%,54%,1,801
3286818,131,143,526,48%,52%,1,800
3004868,128,156,511,45%,55%,1,795
4058208,143,151,500,49%,51%,1,794
Z002,145,171,477,46%,54%,1,793
Z119,137,164,490,46%,54%,1,791
2894156,128,133,528,49%,51%,1,789
3971117,139,153,495,48%,52%,1,787
3036561,151,165,471,48%,52%,1,787
3036573,129,150,506,46%,54%,1,785
3286815,141,158,483,47%,53%,1,782
3968932,147,156,471,49%,51%,1,774
3286822,134,150,482,47%,53%,1,766
2975571,125,152,487,45%,55%,1,764
2896166,148,174,442,46%,54%,1,764
3036589,133,149,479,47%,53%,1,761
3251437,142,162,456,47%,53%,1,760
3286820,144,143,467,50%,50%,1,754
2896050,149,143,462,51%,49%,1,754
2962306,131,143,477,48%,52%,1,751
3158072,126,153,471,45%,55%,1,750
4011814,139,143,452,49%,51%,1,734
3036537,118,144,472,45%,55%,1,734
2896792,126,148,459,46%,54%,1,733
3254314,153,154,424,50%,50%,1,731
2933818,119,144,466,45%,55%,1,729
3036611,120,143,463,46%,54%,1,726
2896619,129,140,456,48%,52%,1,725
3353692,127,148,447,46%,54%,1,722
2898422,128,144,448,47%,53%,1,720
2936174,145,143,430,50%,50%,1,718
2940899,116,140,461,45%,55%,1,717
3036512,115,127,470,48%,52%,1,712
3286810,129,133,447,49%,51%,1,709
4205218,118,126,463,48%,52%,1,707
3286795,127,124,452,51%,49%,1,703
3158073,136,127,439,52%,48%,1,702
3036555,148,135,414,52%,48%,1,697
2954016,122,148,424,45%,55%,1,694
3286791,110,129,454,46%,54%,1,693
3033947,116,126,451,48%,52%,1,693
2896360,133,131,425,50%,50%,1,689
Z062,124,139,425,47%,53%,1,688
2897764,128,146,413,47%,53%,1,687
4108343,117,140,426,46%,54%,1,683
2975564,112,129,442,46%,54%,1,683
2944038,123,149,411,45%,55%,1,683
Z021,110,132,437,45%,55%,1,679
2897604,112,133,426,46%,54%,1,671
3036637,112,130,427,46%,54%,1,669
2947618,133,119,417,53%,47%,1,669
2972828,115,137,412,46%,54%,1,664
3036631,107,126,425,46%,54%,1,658
2933817,116,116,426,50%,50%,1,658
4002374,108,123,425,47%,53%,1,656
3036549,96,113,447,46%,54%,1,656
2897523,127,114,415,53%,47%,1,656
2938580,111,128,416,46%,54%,1,655
2897605,126,118,411,52%,48%,1,655
Z025,117,123,412,49%,51%,1,652
2992651,109,123,420,47%,53%,1,652
2907221,112,133,406,46%,54%,1,651
3974410,112,134,403,46%,54%,1,649
3036558,107,128,412,46%,54%,1,647
2894597,111,133,403,45%,55%,1,647
2760074,111,127,408,47%,53%,1,646
2897978,122,123,400,50%,50%,1,645
3280658,123,129,387,49%,51%,1,639
3031553,109,128,400,46%,54%,1,637
3031556,114,125,396,48%,52%,1,635
2965157,111,130,388,46%,54%,1,629
2900507,112,130,380,46%,54%,1,622
4001182,112,121,388,48%,52%,1,621
3996778,110,134,376,45%,55%,1,620
2918288,98,115,406,46%,54%,1,619
4147118,97,118,402,45%,55%,1,617
2896363,109,129,374,46%,54%,1,612
4153183,102,117,392,47%,53%,1,611
2917908,93,109,409,46%,54%,1,611
3031555,103,118,389,47%,53%,1,610
3036602,100,120,388,45%,55%,1,608
2898787,117,108,383,52%,48%,1,608
2966610,106,123,376,46%,54%,1,605
4203305,103,114,387,47%,53%,1,604
4002322,96,113,395,46%,54%,1,604
3036499,95,113,394,46%,54%,1,602
2972079,111,124,367,47%,53%,1,602
4042419,102,122,375,46%,54%,1,599
3855832,100,118,379,46%,54%,1,597
2965632,105,113,378,48%,52%,1,596
3036578,96,112,385,46%,54%,1,593
3273005,98,114,380,46%,54%,1,592
4211412,104,120,364,46%,54%,1,588
3007625,108,107,371,50%,50%,1,586
3036603,95,114,376,45%,55%,1,585
2985246,106,127,352,45%,55%,1,585
3968426,103,123,358,46%,54%,1,584
Z001,108,108,363,50%,50%,1,579
2893949,101,115,361,47%,53%,1,577
3987291,101,112,363,47%,53%,1,576
3279572,108,122,345,47%,53%,1,575
3036494,106,103,365,51%,49%,1,574
2908830,105,121,342,46%,54%,1,568
4085586,98,115,354,46%,54%,1,567
2914587,92,105,369,47%,53%,1,566
2966062,91,111,362,45%,55%,1,564
2918748,99,106,359,48%,52%,1,564
3036595,96,109,355,47%,53%,1,560
3004866,97,112,350,46%,54%,1,559
2977801,93,99,367,48%,52%,1,559
3317036,94,114,350,45%,55%,1,558
2763348,101,113,344,47%,53%,1,558
3321820,100,114,343,47%,53%,1,557
4204349,102,98,356,51%,49%,1,556
2916030,101,107,348,49%,51%,1,556
3325229,90,106,359,46%,54%,1,555
3968424,109,122,323,47%,53%,1,554
4018627,106,104,343,50%,50%,1,553
2914588,95,106,351,47%,53%,1,552
2914155,101,111,340,48%,52%,1,552
4203106,100,116,335,46%,54%,1,551
3311195,111,108,330,51%,49%,1,549
2895456,99,108,342,48%,52%,1,549
3036541,96,116,334,45%,55%,1,546
3036520,92,111,343,45%,55%,1,546
3036604,88,103,353,46%,54%,1,544
2909377,93,108,343,46%,54%,1,544
4203278,91,101,347,47%,53%,1,539
2996488,93,102,341,48%,52%,1,536
3814113,88,106,340,45%,55%,1,534
3277363,87,103,343,46%,54%,1,533
2990230,93,95,345,49%,51%,1,533
3036498,92,93,347,50%,50%,1,532
3855627,89,104,336,46%,54%,1,529
3036574,93,112,324,45%,55%,1,529
3639899,93,106,328,47%,53%,1,527
2914157,98,97,331,50%,50%,1,526
2904601,120,112,293,52%,48%,1,525
2985159,93,86,345,52%,48%,1,524
Z016,87,103,333,46%,54%,1,523
3313287,88,107,328,45%,55%,1,523
2916412,100,103,320,49%,51%,1,523
Frequency_Vevo_Reggaeton,84,102,336,45%,55%,1,522
3036514,93,99,329,48%,52%,1,521
4197280,100,92,327,52%,48%,1,519
4175140,88,106,324,45%,55%,1,518
3036575,94,108,315,47%,53%,1,517
3007597,91,111,315,45%,55%,1,517
2909376,92,106,319,46%,54%,1,517
3933392,82,100,334,45%,55%,1,516
3318468,79,87,348,48%,52%,1,514
3855619,89,104,320,46%,54%,1,513
3002271,88,104,318,46%,54%,1,510
3855629,78,95,336,45%,55%,1,509
2882616,85,91,333,48%,52%,1,509
3657066,81,97,329,46%,54%,1,507
3002265,91,108,307,46%,54%,1,506
3036591,89,100,315,47%,53%,1,504
2916819,75,86,343,47%,53%,1,504
3317035,85,101,314,46%,54%,1,500
3731898,89,101,308,47%,53%,1,498
3036504,83,86,329,49%,51%,1,498
4210032,100,113,284,47%,53%,1,497
2902606,82,98,315,46%,54%,1,495
2905039,82,96,316,46%,54%,1,494
3036521,88,89,316,50%,50%,1,493
3502879,82,99,311,45%,55%,1,492
4241623,90,106,295,46%,54%,1,491
2966614,91,89,311,51%,49%,1,491
2911390,84,94,313,47%,53%,1,491
3995231,84,90,315,48%,52%,1,489
Z029,84,100,304,46%,54%,1,488
